site_id,osm_id,confidence,review,match
36206,50602624,0.61,1,citta
25420,24823536,1,0,citta
40757,224667671,1,0,citta
24408,24823886,1,0,citta
27587,678180329,1,0,citta
30241,678241304,0.78,1,citta
25344,10916588799,0.78,1,citta
30392,53720439,1,0,citta
28561,584166723,0.67,1,citta
25235,53720441,1,0,citta
25218,1184324138,0.83,1,citta
27161,368476067,0.78,1,citta
29360,5413203260,0.77,1,citta
29008,5413203281,0.9,1,citta
27519,171435433,1,0,paese
36165,1503400404,1,0,paese
23022,213930558,1,0,citta
36918,366505356,1,0,citta
36137,308253322,0.67,1,citta
27588,362080645,0.69,1,citta
26996,206376606,1,0,citta
37613,362080667,1,0,citta
29022,206378005,0.6,1,citta
41918,442470361,0.78,1,paese
28181,4038653583,0.62,1,citta
34529,544866896,0.73,1,citta
42156,307798149,1,0,paese
28120,411224168,0.56,1,citta
42103,6879389492,1,0,paese
35601,438218721,0.8,1,paese
29027,348110390,1,0,citta
43603,6797568756,0.75,1,paese
23541,920031205,1,0,citta
35400,104867935,1,0,paese
34501,295795635,1,0,paese
25688,226622791,1,0,paese
25012,290807367,0.85,0,paese
36181,1501259695,0.56,1,citta
28364,172527171,1,0,citta
24541,141073233,0.57,1,citta
39232,454454481,1,0,paese
42137,261439550,0.56,1,citta
25089,128099231,1,0,citta
31392,130060493,0.92,0,citta
36188,138550166,0.63,1,citta
35600,4551181782,0.85,1,citta
22885,33689079,1,0,paese
22884,229916364,1,0,paese
36200,97909056,0.69,1,citta
28572,6213737170,0.77,1,paese
27472,4951902821,0.7,1,citta
23098,232352629,1,0,citta
23110,5982175005,1,0,citta
23097,232355323,1,0,citta
35430,287957283,0.92,0,citta
23099,4576012857,0.67,1,citta
23111,5982175008,1,0,citta
42064,288490600,1,0,citta
23109,230690817,0.62,1,citta
23100,5982175007,1,0,citta
32476,229503924,0.74,1,citta
23000,5528603429,1,0,citta
23237,158348214,0.79,1,citta
22984,5788790953,1,0,citta
39302,178875951,1,0,paese
27756,8050894864,0.56,1,citta
28095,225433474,1,0,citta
23463,481375032,0.77,1,citta
36609,167462717,1,0,citta
41911,3687478458,0.83,1,paese
25933,7606667471,0.67,1,citta
36184,7141331998,0.7,1,citta
43623,5924616257,1,0,citta
35608,5555299108,0.82,1,paese
42809,955581549,1,0,citta
31835,104328174,0.94,0,paese
26164,340045970,0.78,1,paese
23017,9111144756,0.88,1,citta
36166,3797628346,0.86,0,paese
35388,3118451891,0.8,1,citta
36162,301091705,1,0,paese
39303,3773411366,1,0,paese
23001,2502357495,0.8,1,citta
36204,277707657,0.82,1,paese
36169,4723246345,0.76,1,paese
35838,1024904610,1,0,paese
26235,4799040694,0.56,1,citta
24932,4507147761,1,0,paese
26243,9124689438,1,0,citta
39035,363405121,1,0,citta
40756,178766690,0.56,1,citta
36170,9315685430,0.57,1,citta
22877,31728160,1,0,citta
